userAddress,total_amount
0x000aba3fffb94d769c3aa1b3eacdc237de18802e,1005699852795615597
0x0010108d287e168d93c6c36a7ae1e48099969f16,311279583748082342
0x00201cfc48ae96bda7a778ee2b3377899931af77,2708937630942007388
0x00205dc9a8c3d6ce3acb2584130cfb7993ce209c,186583400506751095
0x002ee33092457900515a4249e3ec1cd2b2dc8c32,857650178141834021
0x00415764a621b01c5c235084c9bf408c34a908eb,3292208600069414
0x0052a2d76dd59d85c55c3baa03c2fd0245e4a9da,150000000000000000
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,58952302481465265
0x0077495b1db5c12e0004473f9373a0d71059b495,779427410641861
0x0079ce80043edc3325598e4a3b6293ab779bf174,11377326328995601841
0x00940832d617cef78bf4d6486d3ab72c8c2f6675,2883811222388250
0x00a2b106991f90b8a8126793c355340e43f2ec7d,1601039063837613783
0x00a41e72a3bf61c444a021b63a0d5f5af0dc1b83,37221291734389359
0x00ba280c55643f707e23376c948be41b5468ef58,347877671244042282
0x00cf291c713f204b1ac03f86a8ed5d11acb4fb7a,3450002196310089
0x00dcf8c169e8d10be11c49975a9c5f9866e8a69c,722938044068029961
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,40868743884847941829
0x0100042a7d11482ddb614f3bcaa9ba751269c495,1122050946822201551
0x0104aa35437c0fe11d8ad89dc8caaf2f49e8fcf4,6604403001219061
0x010accf8c7c085770bd531f9ffb2ba7112ab957b,433457549108581660
0x011b0a055e02425461a1ae95b30f483c4ff05be7,10746309393072859151
0x01247fdf97ef4ce628d1e639b83a79a78dc1bb8e,69242091530397368
0x012db66110d211e5aa15171b15265384f22fd1de,1004800000000000000
0x013040bcc92ca0bec2670d61f06da7c36678222a,682992560469501208
0x013051b194640e617a1b72c9a01bb8477df82b39,4592000000000000
0x013ae2d660d0b5e02f95fd770eb5a5800e623102,12956082223453455
0x015448357a85e8423117f45f9a870de126643e82,266004771590796724
0x015abf7f6fdbb0b57b8853b25ad7299dd92d9f1b,5000000000000000
0x016c2fd7f34eb1a6421118b1f640832a8c4964ed,2438613605198660
0x0179181d2c429d4c2ed9fbd476d3adfda2363c08,308747828806606207
0x017c751672803294b8b1a2d26204fa71a90080a8,100987823624528928
0x019bb70cc458a678ab6ea0c95963f3c0885a1a34,1390582013865682
0x01ab07010c2f4bf5971537669cc19d5d8cf320a0,246160954495667941
0x01b002ac8c15de40eaee07fcbaa585400f7916fd,4242192984490769
0x01c7b3b2be439441e3cc8644b64b664d5e4e997f,7306134003840425
0x01ca981fc89358fa3ee06d32c7bc9896bf4d2043,15299634075221570
0x01d71be28068511bb56f2ec48dffaf790a98f350,674300000000000
0x01d7a98d738e571b48070ec7a84d2029e7fdcdcd,1005337953319901071
0x01e5d631ba707a029c8a1555bdac4805d7853e21,220287847363167279440
0x01e8a979e7c5a1bb5c7af02a5f11263d0af4c19e,367302312789378276
0x01f419ca263ce8fa64f43608acf9aa8bf44c658a,79972256039281830
0x01f67cd5c0f65c52997634427123478fe88f5214,10744119087076174611
0x022303ef2a1224c6aef200ea068d6397b1082f7a,4780680484396766409
0x02232546d153f67dc193ea6819ea6cf8c947d0b8,531956018451087894
0x02298bad5581d305163888eafd22577da432a911,735115206507000
0x022a82394f1b933b172b238d2956d4dfea8aa01e,1079747204776973163
0x022ca32d31da3ef85922aafd9ad29c5b2418172c,836269949717451477
0x0236b356840c3ba7320590c424de2dc54f54fc4e,909214873132478
0x0241da5d987afc45ab2edcfaaea1feb68b49e175,300000000000000000
0x0241fb5aa4b916ff8da61daf395df22d5037cff7,4888009097493005211
0x025c62433ecf89ed45edf7f41bf05318204d0b2b,709487205783001477
0x02608d35121db289427f6fd4fa53e93b5cae0bdf,4653022564804051
0x026f7a4cf17308171538843f336162ef5828d299,1025273992596261791
0x02a84163763dd791328765b96aed43b6a915af48,119073624428379505
0x02bacedfd777d3c94792c408b73ca46f7c12d5d1,318076645309303677
0x02c5726bf93afd684b21e05054895b9b6b23bf17,1354975059109998
0x02cb7a0740a274d0b3f5e114803be623ec696ab6,11212771623145677
0x02d22726492e392243ee41d2c4c4f6b3f04f7ad4,304342054664573
0x02f86a8783152f5f048afc57b5a2afb5529ee745,717463946590283
0x02ff86850820c76973f8099b8a6f9a406b62b65b,312734431683969985
0x0314897962ed3e25af5dc731eb488a53f4624bca,106248484677556966
0x0330681819826086a816e750849894ad5895ac9a,30407474785669734
0x0346176c7d3c4370e2e571eadf0cb6f43cbec957,509435808486759847
0x034a41c788996d96cc80a943fd5b1379672a6294,828390790843013
0x0356c28c048b52b568e35edd834e463ae2ef723b,36513434126299279
0x036aa464d59df49659141c846a9ec4addcad7b8a,102224414004199
0x03855b0e3bd90591999a266b1a2701ee0ef18fc6,556131873399412032
0x03916727aacfce46a9e589fbb02a087605c53d49,67339294041475599
0x03bd52f8c34bfa86dc861a22c5fc81e96d336058,363235493541893530
0x03c78be891553a69a6e48beaf4b344efe393b307,4091667636861036
0x03d051b8704987d5474334be63336996af4ed2be,298954092324022102
0x03d6968f256d052e9e7777361c3ae4bd266088af,311000096721030
0x03ddd5a675e2cfa35b9ae2b207a7dbd95fe24646,168460230188415125
0x03e2c5ba88b9eb75a6f698864eebdee83f94b870,19498792464743307
0x042d3b12f5247cdf37778fe1565614e9e7a2b07e,3223915411079112
0x0455336378450208096d7f149a8a0417ea07c89a,367579660915295
0x045d9dbbc63b637f6717d92bed155222e3f18651,86518008438590379
0x04635cec919cca10780a8a4bc4feed4457a1c3f4,22832719757652644
0x04850cbec02007711892cdb4bd09c800f95d6fc1,20811408916158578
0x0494eeb6a4c1c303017ac32db2600e3f40b9d5bf,51552628631421227
0x04a8c06ac6d06f25c657fe61106a485d2583be71,494325754937467118
0x04ab83f37253c16da7ec0501d9a84a01bcc8fcbc,703975351439222
0x04b248f113c2479861045093f3e3f62aa79351ef,160621671917096982
0x04b970b2539e98755438e6da19b204f102dde11e,6201095196437220
0x04bb65c2e198634aebca94d49349744070946212,5585966460801612
0x04d03771c3ccb9c6f3ed7240d4258b5c418ec134,2241168121737573042
0x04d5b4bc6ed30780c64fa6d1e3f5557133f69e9a,138496306687668
0x04e19eed5fd3f2402f0f7e95425c498f4c62d02e,12925465315689413
0x04e4c536f16a9f6e7289d21872284603fd4a426e,13768138751145367
0x04ea58a716f75b41ff00a5a3edc8596d94e8d2c9,9350805953410402446
0x04eca276ed3206f92fc117deea34b7b02d95a805,16022182153822049
0x04fc301b2e9e2b96d1bfe56f1adfa57891dc666a,161436506691877084
0x04feda00244db4234b0d68e5ccaf5d561ddb6049,266936589461207300
0x0508a35c5b0f796b32614f7b1b2666d17515a0cd,1190445396396965607
0x05134505e1715c5a001a54f2eac6cfd8e7f774ad,776426713990404
0x051a3190c9342211eb311723b23b8c7cbd7b5a5d,64970900101948406
0x051e2382c5da5060537065475f8dfd23a804042b,1896891674014613
0x05204e317d25eb172115546297b056965be2c74d,2019204077176872
0x052180319fc3885772efe9a24b1042e255fc2bca,96927532470094950
0x05255cdc6116e3d090aa0ab9e38b8206435a8cb6,1679556333453688
0x052eacf742e0923fc51117b7302710c23eff6b7c,596954425313836483
0x053276cc8d71430156091ffd6bb1f94f41c586d5,3112586635546233
0x05351ec55029aa19f38fb0ce404db7534e21eb83,365021522882317
0x053c74312e63254ab970c64655fc863e3eb31879,621200000000000
0x054cb2effce4759d957269618c69ace60c12e229,126452422263783543
0x056a5cd552529749a86833a0f2c3fde36adf2729,1363618714460
0x056fc75753bd75ea28b5966c4bea29f4ad49321c,1000000000000000000
0x0577ffa4361b0c6f9909c5f3d2e43987de910ad1,1001871074022648315
0x0580a885f95833a73c25c70d91649245cf0d16e8,1545850740194739777
0x0580ae200d8b86d294e363cb3de8fba7fc85e43a,1070897339057411980
0x059dc4757cd4cdb4d1ced0b442346d68bf2612dd,120867734607125090
0x059eeedfe126ff4c918da928a33826def7402744,30228057328747094
0x059f9b3eaeb183feb097a71a861b35ae6f22afde,4716293231410883
0x05b8312f545ce7daae10aae93aea375d366bf4b5,4581170864110034
0x05c446f4d6c3fb71f2f2949c92e0a5ee6e59853e,72618031518941846
